"Shape" "Thres" "Nban"
-0.081 8000 154
0.088 8000 154
0.088 8000 154
0.081 8000 154
0.081 8000 154
0.015 8000 154
-0.16 8000 154
-0.009 8000 154
-0.054 8000 154
0.073 8000 154
0.087 8000 154
0.034 8000 154
0.048 8000 154
-0.036 8000 154
-0.126 8000 154
0.187 8000 154
0.049 8000 154
0.035 8000 154
0.105 8000 154
0.173 8000 154
0.173 8000 154
-0.011 8000 154
0.134 8000 154
0.134 8000 154
0.134 8000 154
0.096 8000 154
0.133 8000 154
0.179 8000 154
0.122 8000 154
0.032 8000 154
0.185 8000 154
0.185 8000 154
0.197 8000 154
0.06 8000 154
0.037 8000 154
-0.135 8000 154
-0.038 8000 154
0.076 8000 154
-0.185 8000 154
-0.053 8000 154
0.077 8000 154
0.077 8000 154
-0.076 8000 154
-0.04 8000 154
0.111 8000 154
0.104 8000 154
0.08 8000 154
0.122 8000 154
0.055 8000 154
0.055 8000 154
0.055 8000 154
-0.169 8000 154
-0.112 8000 154
0.116 8000 154
0.116 8000 154
0.069 8000 154
0.069 8000 154
0.069 8000 154
-0.075 8000 154
-0.075 8000 154
-0.099 8000 154
-0.101 8000 154
-0.24 8000 154
-0.24 8000 154
-0.161 8000 154
-0.161 8000 154
-0.109 8000 154
0.022 8000 154
-0.066 8000 154
-0.073 8000 154
-0.073 8000 154
0.033 8000 154
0.033 8000 154
-0.016 8000 154
0.076 8000 154
0.051 8000 154
0.149 8000 154
0.149 8000 154
0.13 8000 154
0.13 8000 154
0.13 8000 154
0.187 8000 154
0.043 8000 154
0.206 8000 154
0.131 8000 154
0.145 8000 154
0.145 8000 154
0.281 8000 154
0.219 8000 154
0.129 8000 154
0.129 8000 154
0.129 8000 154
0.036 8000 154
0.19 8000 154
0.007 8000 154
0.108 8000 154
0.108 8000 154
0.086 8000 154
0.025 8000 154
0.022 8000 154
0.1 8000 154
0.146 8000 154
0.078 8000 154
0.168 8000 154
0.207 8000 154
0.058 8000 154
0.013 8000 154
0.062 8000 154
0.187 8000 154
0.042 8000 154
0.021 8000 154
0.041 8000 154
-0.093 8000 154
-0.093 8000 154
-0.004 8000 154
-0.031 8000 154
0.007 8000 154
0.001 8000 154
-0.004 8000 154
0.004 8000 154
-0.037 8000 154
